artifact,type,name,version,purl
source,library,@babel/plugin-transform-modules-umd,7.29.7,pkg:npm/%40babel/plugin-transform-modules-umd@7.29.7
source,library,@babel/plugin-transform-new-target,7.29.7,pkg:npm/%40babel/plugin-transform-new-target@7.29.7
source,library,@babel/plugin-transform-object-super,7.29.7,pkg:npm/%40babel/plugin-transform-object-super@7.29.7
source,library,@babel/plugin-transform-parameters,7.29.7,pkg:npm/%40babel/plugin-transform-parameters@7.29.7
source,library,@babel/plugin-transform-react-constant-elements,7.0.0,pkg:npm/%40babel/plugin-transform-react-constant-elements@7.0.0
source,library,@babel/plugin-transform-react-display-name,7.29.7,pkg:npm/%40babel/plugin-transform-react-display-name@7.29.7
source,library,@babel/plugin-transform-react-inline-elements,7.0.0,pkg:npm/%40babel/plugin-transform-react-inline-elements@7.0.0
source,library,@babel/plugin-transform-react-jsx,7.29.7,pkg:npm/%40babel/plugin-transform-react-jsx@7.29.7
source,library,@babel/plugin-transform-react-jsx-self,7.29.7,pkg:npm/%40babel/plugin-transform-react-jsx-self@7.29.7
source,library,@babel/plugin-transform-react-jsx-source,7.29.7,pkg:npm/%40babel/plugin-transform-react-jsx-source@7.29.7
source,library,@babel/plugin-transform-regenerator,7.29.8,pkg:npm/%40babel/plugin-transform-regenerator@7.29.8
source,library,@babel/plugin-transform-shorthand-properties,7.29.7,pkg:npm/%40babel/plugin-transform-shorthand-properties@7.29.7
source,library,@babel/plugin-transform-spread,7.29.8,pkg:npm/%40babel/plugin-transform-spread@7.29.8
source,library,@babel/plugin-transform-sticky-regex,7.29.7,pkg:npm/%40babel/plugin-transform-sticky-regex@7.29.7
source,library,@babel/plugin-transform-template-literals,7.29.7,pkg:npm/%40babel/plugin-transform-template-literals@7.29.7
source,library,@babel/plugin-transform-typeof-symbol,7.29.7,pkg:npm/%40babel/plugin-transform-typeof-symbol@7.29.7
source,library,@babel/plugin-transform-unicode-regex,7.29.7,pkg:npm/%40babel/plugin-transform-unicode-regex@7.29.7
source,library,@babel/polyfill,7.12.1,pkg:npm/%40babel/polyfill@7.12.1
source,library,@babel/preset-env,7.1.0,pkg:npm/%40babel/preset-env@7.1.0
source,library,@babel/preset-react,7.0.0,pkg:npm/%40babel/preset-react@7.0.0
source,library,@babel/register,7.0.0,pkg:npm/%40babel/register@7.0.0
source,library,@babel/runtime,7.0.0,pkg:npm/%40babel/runtime@7.0.0
source,library,@babel/runtime,7.29.7,pkg:npm/%40babel/runtime@7.29.7
source,library,@babel/template,7.29.7,pkg:npm/%40babel/template@7.29.7
source,library,@babel/traverse,7.29.8,pkg:npm/%40babel/traverse@7.29.8
source,library,@babel/types,7.29.8,pkg:npm/%40babel/types@7.29.8
source,library,@centia-io/sdk,0.0.57,pkg:npm/%40centia-io/sdk@0.0.57
source,library,@colors/colors,1.5.0,pkg:npm/%40colors/colors@1.5.0
source,library,@dabh/diagnostics,2.0.3,pkg:npm/%40dabh/diagnostics@2.0.3
source,library,@emotion/is-prop-valid,0.6.8,pkg:npm/%40emotion/is-prop-valid@0.6.8
source,library,@emotion/memoize,0.6.6,pkg:npm/%40emotion/memoize@0.6.6
source,library,@jridgewell/gen-mapping,0.3.13,pkg:npm/%40jridgewell/gen-mapping@0.3.13
source,library,@jridgewell/resolve-uri,3.1.2,pkg:npm/%40jridgewell/resolve-uri@3.1.2
source,library,@jridgewell/sourcemap-codec,1.6.0,pkg:npm/%40jridgewell/sourcemap-codec@1.6.0
source,library,@jridgewell/trace-mapping,0.3.31,pkg:npm/%40jridgewell/trace-mapping@0.3.31
source,library,@material-ui/core,3.9.4,pkg:npm/%40material-ui/core@3.9.4
source,library,@material-ui/icons,3.0.2,pkg:npm/%40material-ui/icons@3.0.2
source,library,@material-ui/system,3.0.0-alpha.2,pkg:npm/%40material-ui/system@3.0.0-alpha.2
source,library,@material-ui/utils,3.0.0-alpha.3,pkg:npm/%40material-ui/utils@3.0.0-alpha.3
source,library,@mrmlnc/readdir-enhanced,2.2.1,pkg:npm/%40mrmlnc/readdir-enhanced@2.2.1
source,library,@nodelib/fs.stat,1.1.3,pkg:npm/%40nodelib/fs.stat@1.1.3
source,library,@samverschueren/stream-to-observable,0.3.1,pkg:npm/%40samverschueren/stream-to-observable@0.3.1
source,library,@sindresorhus/is,0.7.0,pkg:npm/%40sindresorhus/is@0.7.0
source,library,@types/cookie,0.3.3,pkg:npm/%40types/cookie@0.3.3
source,library,@types/jss,9.5.8,pkg:npm/%40types/jss@9.5.8
source,library,@types/node,8.10.66,pkg:npm/%40types/node@8.10.66
source,library,@types/object-assign,4.0.33,pkg:npm/%40types/object-assign@4.0.33
source,library,@types/q,1.5.8,pkg:npm/%40types/q@1.5.8
